,cost,numRoom,NameRoom,square,squareKitchen,floor,repair,warmFloor,SellingMethod,ceilingHeight,livingSpace,Appliances,Balcony,Furniture,Toilet,TransactionType,TypeRoom,name,district,districtName,typeHome,yearBuilding,floorInHome,passengerElevator,freightElevator,nameHome,frame,officialDeveloper,participationType,deadLine,inHome,parking,yard
1229,7121850,3,3,60.1,6.8,8,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1230,5308410,2,2,41.7,5.3,6,,,,,26.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1231,6086300,2,2,50.3,11.3,14,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1232,5890500,2,2,49.5,10.9,6,,,,,25.2,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1233,5947200,2,2,50.4,11.3,5,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1234,4700850,1,1,36.3,11.5,5,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1235,5375000,2,2,43.0,5.2,8,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1236,4820640,1,1,36.3,11.5,6,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1237,6113250,2,2,49.5,10.9,11,,,,,25.2,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1238,4327050,0,Студия,31.7,,7,,,,,14.3,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1239,5405400,2,2,42.9,5.2,13,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1240,4947160,1,1,36.7,10.9,14,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1241,6148800,2,2,50.4,11.3,6,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1242,5418000,2,2,43.0,7.4,11,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1243,6061150,2,2,50.3,11.3,13,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1244,6683600,3,3,53.9,6.8,14,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1245,4737150,1,1,36.3,11.5,6,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1246,5219300,2,2,41.0,5.9,7,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1247,6722200,3,3,55.1,7.7,8,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1248,5524820,2,2,43.4,7.8,8,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1249,4247800,0,Студия,31.7,,8,,,,,14.3,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1250,5880600,2,2,48.6,12.5,14,,,,,24.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1251,7264250,3,3,59.3,6.8,11,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1252,5538400,2,2,43.0,7.4,14,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1253,5866700,2,2,49.3,9.9,7,,,,,28.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1254,7175300,3,3,59.3,6.8,7,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1255,5293680,2,2,41.1,6.4,15,,,,,23.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1256,5964750,2,2,49.5,10.9,13,,,,,25.2,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1257,4856940,1,1,36.3,11.5,9,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1258,4242700,0,Студия,31.9,,3,,,,,14.3,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1259,7027050,3,3,59.3,6.8,7,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1260,11097500,3,3,96.5,20.1,1,,,,,39.1,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1261,5165670,2,2,40.9,5.9,4,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1262,4600000,2,2,41.0,6.0,6,,,Переуступка,,25.3,,Балкон,,Совмещенный,,"Изолированные,Смежные","ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1263,5166000,2,2,41.0,5.9,13,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1264,5199350,2,2,42.1,5.7,2,,,,,26.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1265,4593600,1,1,35.2,6.7,8,,,,,11.4,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1266,5216400,2,2,41.4,5.0,13,,,,,26.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1267,5220700,2,2,41.5,6.4,2,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1268,5910250,2,2,50.3,10.9,3,,,,,28.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1269,5293680,2,2,41.1,6.4,14,,,,,23.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1270,5158400,2,2,41.6,6.9,4,,,,,23.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1271,4593600,1,1,35.2,11.5,8,,,,,11.4,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1272,5104500,2,2,41.0,5.9,5,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1273,6414100,3,3,53.9,6.8,10,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1274,6997400,3,3,59.3,6.8,5,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1275,4227600,0,Студия,31.2,,13,,,,,14.3,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1276,6505200,3,3,55.6,8.2,2,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1277,7097000,3,3,60.4,7.1,3,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1278,4737150,1,1,36.3,11.5,6,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1279,6415500,3,3,54.6,7.5,3,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1280,6591350,3,3,54.7,7.6,2,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1281,7020000,3,3,60.0,7.5,2,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1282,6113250,2,2,49.5,10.9,12,,,,,25.2,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1283,4784340,1,1,36.3,11.5,5,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1284,4247800,0,Студия,31.7,,8,,,,,14.3,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1285,7103600,3,3,60.2,6.8,5,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1286,5915250,2,2,49.5,10.9,9,,,,,25.2,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1287,5506680,2,2,43.6,8.0,3,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1288,7038250,3,3,59.9,7.4,3,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1289,5503120,2,2,43.4,7.8,5,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1290,5933750,2,2,50.5,11.3,3,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1291,5191650,2,2,41.7,5.3,5,,,,,26.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1292,7027050,3,3,59.3,6.8,8,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1293,7116000,3,3,59.3,6.8,12,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1294,5867450,2,2,49.1,12.5,9,,,,,24.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1295,5842900,2,2,49.1,12.5,7,,,,,24.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1296,4666500,1,1,36.6,11.5,2,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1297,5922000,2,2,50.4,11.3,4,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1298,6699800,3,3,55.6,8.2,2,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1299,5174650,2,2,41.9,7.2,2,,,,,23.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1300,5425000,2,2,43.4,7.8,7,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1301,7121850,3,3,60.1,6.8,6,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1302,4791600,1,1,36.3,11.5,11,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1303,4664550,1,1,36.3,11.5,3,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1304,5319600,2,2,42.9,5.2,3,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1305,4728800,1,1,36.8,10.9,4,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1306,4791600,1,1,36.3,11.5,13,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1307,5524820,2,2,43.4,7.8,7,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1308,6061150,2,2,50.3,11.3,12,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1309,5524820,2,2,43.4,7.8,6,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1310,6474250,3,3,55.1,7.7,3,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1311,5969000,2,2,50.8,10.9,2,,,,,25.2,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1312,5332000,2,2,43.0,5.2,3,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1313,5212500,2,2,41.7,5.3,6,,,,,26.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1314,7027050,3,3,59.3,6.8,6,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1315,7056700,3,3,59.3,6.8,9,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1316,5856300,2,2,48.6,12.5,12,,,,,24.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1317,5516900,2,2,43.0,7.4,11,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1318,5191650,2,2,41.7,5.3,5,,,,,26.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1319,5383950,2,2,42.9,5.2,9,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1320,5332000,2,2,43.0,5.2,4,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1321,4311200,0,Студия,31.7,,5,,,,,14.3,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1322,4737150,1,1,36.3,11.5,7,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1323,5928600,2,2,49.2,12.6,3,,,,,24.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1324,7061750,3,3,60.1,6.8,4,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1325,4839200,1,1,36.8,10.9,9,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1326,7133700,3,3,60.2,6.8,6,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1327,4737150,1,1,36.3,11.5,7,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1328,7116000,3,3,59.3,6.8,13,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1329,6063000,2,2,51.6,11.3,2,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1330,5200000,2,2,41.6,6.9,7,,,,,23.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1331,5384600,2,2,43.6,5.2,2,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1332,5084000,2,2,41.0,5.9,3,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1333,4802400,1,1,36.8,10.9,8,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1334,4773450,1,1,36.3,11.5,10,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1335,5200000,2,2,41.6,6.9,6,,,,,23.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1336,5212500,2,2,41.7,5.3,7,,,,,26.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1337,4844400,1,1,36.7,10.9,13,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1338,5396500,2,2,43.0,7.4,10,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1339,6387150,3,3,53.9,6.8,6,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1340,5084000,2,2,41.0,5.9,4,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1341,5425000,2,2,43.4,7.8,6,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1342,5439720,2,2,42.9,5.2,5,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1343,5166000,2,2,41.0,5.9,12,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1344,5405400,2,2,42.9,5.2,12,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1345,7116000,3,3,59.3,6.8,13,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1346,5406400,2,2,43.6,8.0,3,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1347,5166000,2,2,41.0,5.9,13,,,,,25.3,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1348,5890500,2,2,49.5,10.9,7,,,,,25.2,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1349,5446700,2,2,43.4,7.8,9,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1350,5425000,2,2,43.4,7.8,7,,,,,23.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1351,5856300,2,2,48.6,12.5,13,,,,,24.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1352,4737150,1,1,36.3,11.5,8,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1353,5170800,2,2,41.7,5.3,4,,,,,26.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1354,7090200,3,3,60.6,7.2,2,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1355,6174000,2,2,50.4,11.3,9,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1356,6694650,3,3,55.1,7.7,5,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1357,4947160,1,1,36.7,10.9,14,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1358,6061150,2,2,50.3,11.3,13,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1359,6529350,3,3,55.1,7.7,6,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1360,4893240,1,1,36.3,11.5,14,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1361,5383950,2,2,42.9,5.2,10,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1362,5178600,2,2,41.1,6.4,13,,,,,23.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1363,7145650,3,3,59.3,6.8,15,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1364,4856940,1,1,36.3,11.5,10,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1365,4850240,1,1,36.8,10.9,5,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1366,6086300,2,2,50.3,11.3,15,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1367,4744960,1,1,35.2,11.5,14,,,,,11.4,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1368,4947160,1,1,36.7,10.9,15,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1369,4274400,0,Студия,31.2,,10,,,,,14.3,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1370,6468000,3,3,53.9,6.8,13,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1371,6722200,3,3,55.1,7.7,7,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1372,4875090,1,1,36.3,11.5,12,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1373,4342900,0,Студия,31.7,,9,,,,,14.3,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1374,5989500,2,2,49.5,10.9,14,,,,,25.2,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1375,4887040,1,1,36.8,10.9,8,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1376,6501800,3,3,55.1,7.7,5,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1377,4887040,1,1,36.8,10.9,6,,,,,15.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1378,6468000,3,3,53.9,6.8,11,,,,,34.4,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1379,4820640,1,1,36.3,11.5,8,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1380,5940650,2,2,49.3,9.9,11,,,,,28.2,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1381,7027050,3,3,59.3,6.8,8,,,,,38.0,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1382,6085250,2,2,50.5,11.3,3,,,,,25.8,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1383,5332000,2,2,43.0,5.2,3,,,,,25.0,,Балкон,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1384,5856300,2,2,48.6,12.5,11,,,,,24.5,,Лоджия,,,,Изолированные,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1385,4893240,1,1,36.3,11.5,15,,,,,14.2,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
1386,4709760,1,1,35.2,11.5,9,,,,,11.4,,Балкон,,,,,"ул. Серебристая, д. 16",1.0,р-н Мотовилихинский,,,,,,,,,,,,,
